supermarket,category,name,description,price,reference_price,reference_unit,insert_date
dia-es,el_mercado_panaderia_bolleria_y_pasteleria_pan_de_molde_tostado_y_picos,GIRALDO bacalao al pil pil bandeja 300 gr,,3.8067979358595747,12.805805883296943,l,2021-05-01 00:00:00
mercadona-es,perfumeria_e_higiene_cuidado_manos_jabon_de_manos_pastilla,DAEN cera depilatoria en perlas rosa mosqueta caja 200 gr,,2.1339276742509963,8.166408614141597,€/Kg.,2021-06-01 00:00:00
carrefour-es,la_despensa_dulce_y_desayuno_mermeladas_membrillos_y_compotas,Chocolate extrafino negro Hacendado,Pack 4x120 G.,1.106959613618075,9.971984703446795,€/Kg.,2021-06-01 00:00:00
carrefour-es,la_despensa_dulce_y_desayuno_cafes,Arroz con leche La Ermita de San Pedro sin gluten 270 g.,,33.34270954803735,31.16212420566157,kg,2021-06-01 00:00:00
dia-es,bebe_alimentacion_infantil_tarritos_y_platos_preparados,Horchata de chufa Chufi Original botella 1 l.,1 Ud.,3.6970835239696704,4.48726965024283,l,2021-06-01 00:00:00
mercadona-es,limpieza_y_hogar_productos_para_cocina_aditivos_y_limpiamaquinas,Reavivador de ante y nobuk Bosque Verde,,9.235897778412175,3.012008276335209,kg,2021-06-01 00:00:00
carrefour-es,desayuno_dulces_y_pan_preparacion_de_postres_decoracion_y_complementos_para_postres,Mayonesa Hacendado,Caja,1.5483965101627846,1.8211715101243084,kg,2021-06-01 00:00:00
carrefour-es,bebidas_cerveza_todas_las_cervezas,Escalopines de salmón sin espinas,Caja,2.0914356011209985,9.128200456281249,100ml,2021-06-01 00:00:00
carrefour-es,limpieza_y_hogar_cuidado_de_la_ropa_limpiadores_y_antical_para_lavadora,CORNETTO Crush helado cono chocolate blanco XXL caja 4 uds 240 gr,,1.1241182307000657,1.1355750751701992,kg,2021-06-01 00:00:00
dia-es,el_mercado_panaderia_bolleria_y_pasteleria_magdalenas_dulces_y_bollos,Bebida Florida Hacendado,Botella,4.5416069709259865,24.408016943978758,€/Kg.,2021-06-01 00:00:00
dia-es,la_despensa_yogures_y_postres_yogures_liquidos,Papilla zanahorias baby con ternera Hero baby +6 meses,Bote,4.076500098504611,16.684982632526072,€/l.,2021-06-01 00:00:00
carrefour-es,bebe_alimentacion_infantil_tarritos_y_platos_preparados,Aquarius sabor limón lata 33 cl.,Caja,1.8440142210072719,6.370017061710033,ud,2021-06-01 00:00:00
dia-es,aceite_especias_y_salsas_otras_salsas,Chocolate extrafino negro Hacendado,,2.3061809089597327,2.581225484913571,€/Kg.,2021-06-01 00:00:00
carrefour-es,la_despensa_yogures_y_postres_yogures_liquidos,Detergente líquido Actilift Ariel 50 lavados.,,2.598445864103598,2.3481950019891142,l,2021-06-01 00:00:00
dia-es,el_mercado_panaderia_bolleria_y_pasteleria_pan_de_molde_tostado_y_picos,Atún en aceite de girasol Hacendado,1 Ud.,1.7255876862105626,2.1453547059447833,l,2021-06-01 00:00:00
carrefour-es,la_despensa_yogures_y_postres_otros_postres,DIXIE pipeta antiparasitaria para perros medianos blíster 3 uds,1 Ud.,4.078900298725168,17.474659169607452,kg,2021-07-01 00:00:00
dia-es,drogueria_y_limpieza_accesorios_limpieza_guantes,Tarta infantil El Rey León congelada,Pieza,1.0507159168092246,10.101908459154703,€/Kg.,2021-07-01 00:00:00
carrefour-es,bebidas_refrescos_refrigerados,Complemento alimenticio Lecitina de soja Vive Plus 250 g.,,0.9946889596924798,0.5135610372192145,€/ud.,2021-07-01 00:00:00
dia-es,bebidas_licores_y_cremas_licores_y_orujo,Agua de coco ecológica Cocomi sin gluten brik 1 l.,75 Ml.,1.5214425501770896,7.378833245147985,l,2021-07-01 00:00:00
dia-es,la_despensa_lacteos_batidos_y_horchatas,Atún en aceite de girasol Hacendado,Botella,2.128737911116075,6.19498797528173,kg,2021-07-01 00:00:00
mercadona-es,marisco_y_pescado_pescado_en_bandeja,Berlina Fondant Donuts 204 g.,6 Pzas.,2.625067312805243,7.239481498736604,l,2021-07-01 00:00:00
dia-es,marisco_y_pescado_pescado_en_bandeja,Cuartos traseros familiar de pollo,,1.6269883995515142,12.882474622138917,kg,2021-07-01 00:00:00
dia-es,alimentacion_conservas_pescado_mejillones,Caldo de pollo Carrefour sin gluten brik 1 l.,6 Pzas.,7.531968980747708,9.36097579907646,kg,2021-07-01 00:00:00
carrefour-es,perfumeria_e_higiene_cabello_champus,DIA manzanilla estuche 25 bolsitas,,0.9136725413319857,6.737562929852981,100 ml,2021-07-01 00:00:00
carrefour-es,la_despensa_cestas_y_lotes_cestas_de_navidad,Barra de labios color riche nº 630 L'Oréal 1 ud.,1 Ud.,5.74018116854841,24.481549447959,ud,2021-07-01 00:00:00
mercadona-es,la_despensa_helados_bombon,Bífidus con frutas Hacendado,,0.8004302800465111,4.76568126777816,l,2021-07-01 00:00:00
carrefour-es,bebidas_refrescos_isotonicas,Film transparente Bosque Verde,,2.0503637552126275,4.810490863253552,ud,2021-07-01 00:00:00
carrefour-es,bebidas_vinos_tinto,Yogur bífidus desnatado con lima y limón Danone Activia pack de 4 unidades de 120 g.,,0.6844847430829533,116.82596455859395,m,2021-07-01 00:00:00
carrefour-es,perfumeria_e_higiene_depilacion_cera,Cerveza Cruzcampo Pilsen pack de 24 botellas de 25 cl.,,0.6270468994432015,3.941760583060106,kg,2021-07-01 00:00:00
dia-es,congelados_y_helados_helados_conos,Chuletas de cordero paletilla,85 Cl.,10.232904719527836,13.424098682734776,€/ud.,2021-07-01 00:00:00
mercadona-es,perfumeria_e_higiene_higiene_intima_aseo_intimo,Anillas a la romana Carrefour 500 g.,75 Cl.,0.9107175841434886,0.009707664524955374,kg,2021-07-01 00:00:00
dia-es,bodega_licores,Berlina Fondant Donuts 204 g.,750 G.,1.2043603292819203,4.903009701045648,L,2021-08-01 00:00:00
carrefour-es,la_despensa_dulce_y_desayuno_cremas_de_cacao_avellana_y_cacahuete,Bebida Florida Hacendado,290 G.,1.5316780567585007,1.5613139360243273,€/ud.,2021-08-01 00:00:00
carrefour-es,el_mercado_panaderia_bolleria_y_pasteleria_magdalenas_dulces_y_bollos,Lote de Navidad nº 30,5 G.,0.36629732411847277,0.3977617953115454,100ml,2021-08-01 00:00:00
dia-es,perfumeria_e_higiene_boca_y_sonrisa_dentifricos,FRIZZ EASE champú liso perfecto con queratina tubo 250 ml,Caja,1.652148430650567,11.99858107173995,L,2021-08-01 00:00:00
carrefour-es,desayuno_dulces_y_pan_infusiones_menta_poleo,Seitán tofu ecológico Carrefour Bio 250 g.,270 G.,13.140198320638795,13.805281669049366,ud,2021-08-01 00:00:00
dia-es,desayuno_dulces_y_pan_pan_pan_aperitivo,Salsa picante Valentina envase 370 g.,270 G.,3.645448796497456,2.147202294644403,L,2021-08-01 00:00:00
carrefour-es,la_despensa_cestas_y_lotes_perfumeria_para_regalar,Yogur bífidus desnatado con lima y limón Danone Activia pack de 4 unidades de 120 g.,Pieza,4.002917657072318,15.683669169564745,lavado,2021-08-01 00:00:00
carrefour-es,carne_conejo_y_cordero,Complemento alimenticio Lecitina de soja Vive Plus 250 g.,1 Ud.,5.260517572967015,14.648208514375447,€/l.,2021-08-01 00:00:00
carrefour-es,la_despensa_cestas_y_lotes_cestas_de_navidad,Pan de molde sin corteza Carrefour 820 g.,,0.7574284975232413,2.4545734929917513,kg,2021-08-01 00:00:00
carrefour-es,bebidas_vinos_tinto,Fluido facial hidratante matificante DermoPure Eucerin 50 ml.,60 Cápsulas.,17.96250546176107,10.013232891115765,ud,2021-08-01 00:00:00
carrefour-es,la_despensa_yogures_y_postres_otros_postres,Champú cuidado clásico para cabello normal o graso Tresemmé 855 ml,,1.5636432652003838,1.6806642610734368,l,2021-08-01 00:00:00
carrefour-es,bebidas_aguas_y_zumos_zumos_no_refrigerados,FRIZZ EASE champú liso perfecto con queratina tubo 250 ml,,4.179817426722272,0.46744426563375263,l,2021-08-01 00:00:00
dia-es,drogueria_y_limpieza_accesorios_limpieza_fregonas,Papilla zanahorias baby con ternera Hero baby +6 meses,Bote,1.6109712130250293,1.6049370612181866,kg,2021-08-01 00:00:00
carrefour-es,el_mercado_la_cocina_de_carrefour_sushi_del_dia,DOVE jabón de manos pastilla 100 gr,25 Cl.,2.389284109341329,9.890134183634748,kg,2021-08-01 00:00:00
carrefour-es,perfumeria_e_higiene_cabello_champus,FOXY servilletas decoradas tamaño 40 x 40 cm paquete 45 uds,Botella,3.5529630441339823,5.783341666863882,kg,2021-08-01 00:00:00
carrefour-es,bebidas_vinos_tinto,Mermelada de melocotón La Vieja Fábrica 350 g.,50 Ml.,3.538321539073324,13.146029707277929,€/Kg.,2021-08-01 00:00:00
mercadona-es,bebidas_vinos_tintos_castillala_mancha,Fluido facial hidratante matificante DermoPure Eucerin 50 ml.,Pieza,1.32710523496795,2.3178406021597944,100 g,2021-09-01 00:00:00
carrefour-es,zumos_naranja,Agua de coco ecológica Cocomi sin gluten brik 1 l.,25 Cl.,3.530222491045559,6.78767931999593,kg,2021-09-01 00:00:00
carrefour-es,la_despensa_alimentacion_especias_y_sazonadores,Caldo de pollo Carrefour sin gluten brik 1 l.,10 Ud.,1.9716812874105074,4.040586688171256,100 ml,2021-09-01 00:00:00
dia-es,perfumeria_e_higiene_boca_y_sonrisa_dentifricos,Aceitunas rellenas de pimiento Hacendado,,14.400147279063171,0.2697759608458494,100ml,2021-09-01 00:00:00
carrefour-es,la_despensa_alimentacion_semillas,Seitán tofu ecológico Carrefour Bio 250 g.,Pieza,1.7112396003493013,1.475998905213886,l,2021-09-01 00:00:00
carrefour-es,la_despensa_conservas_sopas_y_precocinados_croquetas_y_rebozados,Chocolate con leche Milka pack de 4 tabletas de 100 g.,Lata,1.0023425470754865,0.009872397726889024,€/ud.,2021-09-01 00:00:00
carrefour-es,bebidas_aguas_y_zumos_zumos_no_refrigerados,Barra de labios color riche nº 630 L'Oréal 1 ud.,50 G.,4.604671423315599,9.737529848301005,100 ml,2021-09-01 00:00:00
carrefour-es,el_mercado_charcuteria_chorizo_lomo_y_otros,Crema de cacao con avellanas Nutella sin gluten 200 g.,500 G.,10.41297181128515,13.563127339909126,€/Kg.,2021-09-01 00:00:00
mercadona-es,congelados_y_helados_helados_conos,Aceitunas rellenas de pimiento Hacendado,Pack 4x120 G.,2.279178176178999,9.258690005653666,kg,2021-09-01 00:00:00
dia-es,bebidas_aguas_y_zumos_zumos_no_refrigerados,Bebida láctea natural azucarada Hacendado,Pack-2,1.4045696513791879,2.0553449728738746,lavado,2021-09-01 00:00:00
carrefour-es,bebidas_aguas_y_zumos_zumos_no_refrigerados,Refresco de cola Carrefour zero sin cafeína lata 25 cl.,,2.7094773170057094,0.38499451645710586,€/ud.,2021-09-01 00:00:00
carrefour-es,la_despensa_lacteos_batidos_y_horchatas,Manzana reineta,,2.4879359573277746,3.194098892820007,kg,2021-09-01 00:00:00
carrefour-es,la_despensa_alimentacion_semillas,Maletin de maquillaje Camouflage Perfect Traveller Magic Studio IDC 1 ud.,,0.9327292714933003,0.009809028502649555,L,2021-09-01 00:00:00
mercadona-es,cuidado_del_cabello_peines_y_accesorios,Manzana reineta,,5.538128663095545,8.508301312651724,€/Kg.,2021-09-01 00:00:00
mercadona-es,bodega_licores,GARNIER Skinactive gel micelar todo en uno piel sensible dosificador 200 ml,1 Ud.,1.4177461657329118,2.0375477328194624,€/Kg.,2021-10-01 00:00:00
mercadona-es,la_despensa_alimentacion_vitaminas_y_complementos,Crema de cacao con avellanas Nutella sin gluten 200 g.,1 Ud.,1.9403751277859713,25.47403507668193,100 ml,2021-10-01 00:00:00
carrefour-es,perfumeria_e_higiene_higiene_bucal_dentifricos,Manzana reineta,,2.7582914735167865,2.3464899275794417,kg,2021-10-01 00:00:00
mercadona-es,lacteos_y_huevos_yogures_yogur_sabores,CORNETTO Crush helado cono chocolate blanco XXL caja 4 uds 240 gr,3 L.,3.28512620628189,2.1233776136458804,100 ml,2021-10-01 00:00:00
carrefour-es,congelados_y_helados_platos_precocinados_otros_precocinados,Manzana reineta,750 G.,3.614621915657531,7.981901674950663,ud,2021-10-01 00:00:00
carrefour-es,perfumeria_e_higiene_cuidado_manos_jabon_de_manos_pastilla,Reavivador de ante y nobuk Bosque Verde,,2.9904904971216633,2.944332711493486,100 g,2021-10-01 00:00:00
mercadona-es,perfumeria_e_higiene_depilacion_maquinillas_y_recambios,ISABEL mejillones en salsa vieira 13/18 piezas lata 69 grs,50 G.,0.8874818313877996,0.7549266334924389,€/Kg.,2021-10-01 00:00:00
carrefour-es,postres_y_yogures_yogures_liquidos,Bloque de hígado de pato blister Martiko 130 g.,,13.599621245547063,13.98896791184978,€/Kg.,2021-10-01 00:00:00
carrefour-es,limpieza_y_hogar_cuidado_de_la_ropa_detergentes,GIRALDO bacalao al pil pil bandeja 300 gr,,4.86808160756314,46.82073771294323,€/Kg.,2021-10-01 00:00:00
carrefour-es,la_despensa_yogures_y_postres_otros_postres,Rotuladores Bic Kid Couleur Surtidos 18+6 uds,Lata,3.9202194286430485,3.514695844772692,€/Kg.,2021-10-01 00:00:00
carrefour-es,limpieza_y_hogar_utensilios_de_limpieza_y_calzado,Barrita de chocolate con galleta y caramelo 5 ud.,Pieza,2.0155586512924146,10.770621365338982,kg,2021-10-01 00:00:00
dia-es,congelados_y_helados_platos_precocinados_otros_precocinados,STARBUCKS café capuccino vaso 220 ml,Tarrina,4.843819899725069,0.5805516538130439,kg,2021-10-01 00:00:00
carrefour-es,el_mercado_charcuteria_foie_pates_y_sobrasadas,"Zumo de melocotón, manzana y uva Carrefour pack de 6 briks de 20 cl.",500 Ml.,0.9189674752707953,7.114380671115999,l,2021-10-01 00:00:00
dia-es,perfumeria_e_higiene_cuidado_pies_crema,Bífidus con frutas Hacendado,Bote,11.447225165847021,9.710072301676334,100 g,2021-10-01 00:00:00
carrefour-es,mascotas_accesorios_accesorios,Complemento alimenticio Lecitina de soja Vive Plus 250 g.,350 G.,4.413550474513638,16.502239220289624,l,2021-10-01 00:00:00
carrefour-es,perfumeria_e_higiene_cuidado_pies_crema,Colutorio diario flúor Fluor-Aid 500 ml.,Bandeja,1.389660803416526,0.2807331305365311,€/Kg.,2021-10-01 00:00:00
carrefour-es,carne_conejo_y_cordero,Dentífrico blanqueador Smile for good Colgate 75 ml.,Botella,3.2668869264168054,2.9398153650394834,ud,2021-11-01 00:00:00
dia-es,fruta_y_verdura_fruta,Berlina Fondant Donuts 204 g.,,2.3180049661236866,3.025006422088237,€/ud.,2021-11-01 00:00:00
carrefour-es,limpieza_y_hogar_utensilios_de_limpieza_y_calzado,WILKINSON Sword extra beauty 2 maquinilla desechable mujer bolsa 5 uds,Pack-8,9.985168704377744,8.849636773560295,€/l.,2021-11-01 00:00:00
carrefour-es,conservas_caldos_y_cremas_atun_y_otras_conservas_de_pescado,Limpia máquinas duo Somat 3 ud.,,3.1677158742389397,7.235789151793783,100 ml,2021-11-01 00:00:00
carrefour-es,la_despensa_alimentacion_aceites_y_vinagres,Arroz con leche La Ermita de San Pedro sin gluten 270 g.,Caja,19.16728243977109,19.40305402318421,kg,2021-11-01 00:00:00
dia-es,bebidas_vinos_tinto,DIA guantes desechables de látex talla 8 bolsa 10 uds,,5.962481605424634,0.34106138728280355,kg,2021-11-01 00:00:00
carrefour-es,desayuno_dulces_y_pan_infusiones_manzanilla,Miel de azhar Mellarius 500 g.,Bandeja,32.04975778439826,33.202980441277845,€/l.,2021-11-01 00:00:00
carrefour-es,perfumeria_e_higiene_cosmetica_labios,Anillas a la romana Carrefour 500 g.,Pieza,0.245715013400252,0.0,ud,2021-11-01 00:00:00
carrefour-es,bebidas_aguas_y_zumos_zumos_no_refrigerados,Chicharrillos en aceite de girasol Hacendado,,18.33823747246843,8.94981833544993,€/l.,2021-11-01 00:00:00
dia-es,limpieza_y_hogar_utensilios_de_limpieza_y_calzado,Sérum ácido hialurónico revitalift filler L'Oréal 30 ml.,45 Ud.,1.3475537974222502,4.742756569863265,€/Kg.,2021-11-01 00:00:00
dia-es,limpieza_y_hogar_cuidado_de_la_ropa_detergentes,Fluido facial hidratante matificante DermoPure Eucerin 50 ml.,,22.38762385424689,79.22267508506255,kg,2021-11-01 00:00:00
dia-es,la_despensa_dulce_y_desayuno_chocolates_turrones_y_bombones,ISABEL mejillones en salsa vieira 13/18 piezas lata 69 grs,75 Ml.,1.310338944070441,4.795853719722848,kg,2021-11-01 00:00:00
carrefour-es,bebidas_vinos_todos_los_vinos,Reavivador de ante y nobuk Bosque Verde,,3.7629096669016873,0.9890886712292413,€/ud.,2021-11-01 00:00:00
dia-es,cuidado_facial_y_corporal_higiene_intima,Dentífrico blanqueador Smile for good Colgate 75 ml.,Bandeja,5.725885755333864,7.736393998196348,kg,2021-11-01 00:00:00
mercadona-es,perfumeria_e_higiene_depilacion_maquinillas_y_recambios,Colutorio diario flúor Fluor-Aid 500 ml.,,1.993946791511174,3.543692724576855,kg,2021-12-01 00:00:00
mercadona-es,bebidas_licores_y_cremas_licores_y_orujo,SIMON LIFE naranja botella 1.5 l,,9.98918521035479,9.237372269417563,€/l.,2021-12-01 00:00:00
mercadona-es,conservas_caldos_y_cremas_atun_y_otras_conservas_de_pescado,Atún en aceite de girasol Hacendado,,14.30334376356203,0.256680781548677,l,2021-12-01 00:00:00
carrefour-es,la_despensa_yogures_y_postres_yogures_desnatados,Tarta infantil El Rey León congelada,Brick,20.07456196415411,71.69913894239485,€/ud.,2021-12-01 00:00:00
carrefour-es,la_despensa_dulce_y_desayuno_mermeladas_membrillos_y_compotas,Atún en aceite de girasol Hacendado,,3.720867953655068,1.3134360849005422,kg,2021-12-01 00:00:00
carrefour-es,carne_aves_y_pollo,DOVE jabón de manos pastilla 100 gr,45 Ud.,1.2659638404708082,2.846246375156265,kg,2021-12-01 00:00:00
mercadona-es,bebidas_refrescos_isotonicas,Champú cuidado clásico para cabello normal o graso Tresemmé 855 ml,Tableta,3.8150306125440365,0.9133652560319196,kg,2021-12-01 00:00:00
mercadona-es,la_despensa_dulce_y_desayuno_cremas_de_cacao_avellana_y_cacahuete,"Zumo de melocotón, manzana y uva Carrefour pack de 6 briks de 20 cl.",75 Ml.,12.96473050648275,9222.402043806062,100 g,2021-12-01 00:00:00
carrefour-es,perfumeria_e_higiene_cuidado_pies_crema,Barra de labios color riche nº 630 L'Oréal 1 ud.,16 Ud.,3.6126199624564976,1.4175400078789013,kg,2021-12-01 00:00:00
dia-es,la_despensa_dulce_y_desayuno_cremas_de_cacao_avellana_y_cacahuete,Chorizo casero extra sarta Palacios 250 g.,Pack-4,0.4452029132710288,0.4422220494838845,l,2021-12-01 00:00:00
carrefour-es,desayuno_dulces_y_pan_cafe_en_grano,Menú premium para canarios Vitakraft 1Kg,,10.554338535787334,1.601470071410605,kg,2021-12-01 00:00:00
dia-es,perfumeria_e_higiene_cabello_champus,Film transparente Bosque Verde,200 Ml.,1.1295288674956696,2.997860467209136,kg,2021-12-01 00:00:00
carrefour-es,bebidas_refrescos_refrigerados,Colutorio diario flúor Fluor-Aid 500 ml.,,0.794340240710064,2.1667184835510045,ud,2021-12-01 00:00:00
carrefour-es,el_mercado_quesos_rallados,FOXY servilletas decoradas tamaño 40 x 40 cm paquete 45 uds,,1.4003180477800572,2.2907104720974996,l,2021-12-01 00:00:00
carrefour-es,limpieza_y_hogar_bazar_automovil,Sérum ácido hialurónico revitalift filler L'Oréal 30 ml.,Pack-3,2.4150351242846324,3.006517995866234,€/Kg.,2021-12-01 00:00:00
dia-es,zumos_naranja,Bífidus con frutas Hacendado,6 Pzas.,7.2298932567364895,53.19694914087773,kg,2022-01-01 00:00:00
dia-es,alimentacion_sal_especias_y_sazonadores_especias,"Café sontuoso en cápsulas L'Or Espresso compatible con Nespresso 20 unidades de 5,2 g.",,31.355760545257997,34.31735561093712,€/Kg.,2022-01-01 00:00:00
mercadona-es,panaderia_y_pasteleria_tartas_y_pasteles,Reavivador de ante y nobuk Bosque Verde,Tarrina,6.528416540101283,56.990099091792764,€/l.,2022-01-01 00:00:00
carrefour-es,la_despensa_alimentacion_salsas_y_tomate_frito,Aguardiente de orujo El Afilador 70 cl.,6 Pzas.,1.1639262890887292,2.8789513685650663,kg,2022-01-01 00:00:00
mercadona-es,la_despensa_dulce_y_desayuno_miel,Manzana reineta,130 G.,7.26835801629915,11.463265161139716,kg,2022-01-01 00:00:00
carrefour-es,bebe_alimentacion_infantil,Helado sándwich de nata Hacendado,270 G.,1.855945158186296,27.362663761531145,100 ml,2022-01-01 00:00:00
dia-es,bebidas_vinos_todos_los_vinos,Refresco lima limón Sprite,500 Ml.,6.7446229644463935,60.95795831872764,kg,2022-01-01 00:00:00
mercadona-es,la_despensa_dulce_y_desayuno_chocolates_turrones_y_bombones,Chocolate con leche Milka pack de 4 tabletas de 100 g.,,13.586631805509297,0.26915000743838813,kg,2022-01-01 00:00:00
dia-es,perfumeria_e_higiene_cuidado_pies_crema,Aceite de oliva virgen extra De Nuestra Tierra D.O Sierra Mágina - Jaén 500 ml.,,0.9910687589772209,0.8203688289981181,m,2022-01-01 00:00:00
carrefour-es,perfumeria_e_higiene_cosmetica_rostro,Caldo de pollo Carrefour sin gluten brik 1 l.,,1.4704982707788894,12.91038107351964,ud,2022-01-01 00:00:00
carrefour-es,marisco_y_pescado_pescado_en_bandeja,DOVE jabón de manos pastilla 100 gr,370 G.,4.051629585172924,15.633521555527885,kg,2022-01-01 00:00:00
dia-es,la_despensa_yogures_y_postres_otros_postres,Refresco lima limón Sprite,,5.3075789315163,14.362554728528862,kg,2022-01-01 00:00:00
carrefour-es,el_mercado_charcuteria_foie_pates_y_sobrasadas,Aceitunas rellenas de pimiento Hacendado,Pack-3,1.584063399362602,12.37502811280215,kg,2022-01-01 00:00:00
dia-es,la_despensa_conservas_sopas_y_precocinados_caldos_sopas_y_pure,Regañás con aceitunas y orégano Abuelobread sin gluten y sin lactosa 50 g.,50 Ml.,2.6331227810828297,2.4526594293606214,kg,2022-02-01 00:00:00
carrefour-es,perfumeria_e_higiene_cabello_champus,DIA DELICIOUS mini tostas con pasas bolsa 125 gr,1 Ud.,0.7516749056076288,2.6652417029344835,lavado,2022-02-01 00:00:00
carrefour-es,perfumeria_e_higiene_cabello_champus,Horchata de chufa Chufi Original botella 1 l.,60 Cápsulas.,1.2731621220589235,2.6672181733026497,kg,2022-02-01 00:00:00
carrefour-es,cuidado_facial_y_corporal_higiene_intima,Vino D.O. Rueda blanco verdejo Dama del Lago 75 cl.,Caja,7.751929712693418,14.836370989046038,kg,2022-02-01 00:00:00
mercadona-es,el_mercado_charcuteria_foie_pates_y_sobrasadas,Lote de Navidad nº 30,Tarrito,0.460529139018159,2.0379286634620315,€/ud.,2022-02-01 00:00:00
carrefour-es,bebidas_cerveza_todas_las_cervezas,Aguardiente de orujo El Afilador 70 cl.,,1.3762388921934448,5.21808425386531,100ml,2022-02-01 00:00:00
carrefour-es,drogueria_y_limpieza_accesorios_limpieza_fregonas,Yogur líquido con avena sin azúcar añadido Danone Danacol pack de 6 unidades de 100 g.,1 L.,19.137965545394604,35.65012903998254,l,2022-02-01 00:00:00
carrefour-es,bebidas_vinos_tintos_castillala_mancha,STARBUCKS café capuccino vaso 220 ml,,0.8097487451657042,2.3220591398522465,l,2022-02-01 00:00:00
carrefour-es,postres_y_yogures_bifidus,Film transparente Bosque Verde,,2.929906074836484,3.188145981769059,kg,2022-02-01 00:00:00
carrefour-es,perfumeria_e_higiene_depilacion_maquinillas_y_recambios,Pastillas antical para lavadoras 3 en 1 en Calgon 45 ud.,500 Ml.,1.5477317064691023,2.0260397347132417,,2022-02-01 00:00:00
dia-es,drogueria_y_limpieza_celulosa_servilletas_de_papel,GIRALDO bacalao al pil pil bandeja 300 gr,Botella,4.512920111901327,24.217556778243928,L,2022-02-01 00:00:00
mercadona-es,drogueria_y_limpieza_celulosa_servilletas_de_papel,Desodorante fresh vaporizador Sebamed 75 ml.,,4.0049185569530135,44.226110915522455,ud,2022-02-01 00:00:00
carrefour-es,limpieza_y_hogar_cuidado_de_la_ropa_detergentes,ORAL B pasta dentífrica repair blanqueante tubo 75 ml,Botella,1.4520199996883567,2.3139854523446406,ud,2022-02-01 00:00:00
carrefour-es,la_despensa_dulce_y_desayuno_chocolates_turrones_y_bombones,Yogur bífidus desnatado con lima y limón Danone Activia pack de 4 unidades de 120 g.,,1.419713730452677,4.745338825308644,100 g,2022-02-01 00:00:00
dia-es,charcuteria_y_quesos_queso_untable_y_fresco,GARNIER Skinactive gel micelar todo en uno piel sensible dosificador 200 ml,,3.870289673013485,50.87681161457834,kg,2022-03-01 00:00:00
dia-es,charcuteria_y_quesos_queso_untable_y_fresco,Aguardiente de orujo El Afilador 70 cl.,200 Ml.,22.00593268979118,69.66454880850551,kg,2022-03-01 00:00:00
mercadona-es,carne_aves_y_pollo,GARNIER Skinactive gel micelar todo en uno piel sensible dosificador 200 ml,,3.3342320673816928,3.774473131564749,€/Kg.,2022-03-01 00:00:00
mercadona-es,la_despensa_conservas_sopas_y_precocinados_caldos_sopas_y_pure,Aguardiente de orujo El Afilador 70 cl.,1 L.,2.667597789555856,7.4248889676798395,€/l.,2022-03-01 00:00:00
mercadona-es,bebidas_vinos_todos_los_vinos,Manzana reineta,500 G.,4.500269720170294,10.248473452118038,€/ud.,2022-03-01 00:00:00
carrefour-es,el_mercado_panaderia_bolleria_y_pasteleria_magdalenas_dulces_y_bollos,DIA infusión menta poleo estuche 25 bolsitas,,1.3734041341502325,2.3157696696368464,kg,2022-03-01 00:00:00
carrefour-es,bebidas_vinos_todos_los_vinos,Tarta infantil El Rey León congelada,,1.9789548276669693,1.8492107747097422,L,2022-03-01 00:00:00
dia-es,drogueria_y_limpieza_accesorios_limpieza_fregonas,Mermelada de melocotón La Vieja Fábrica 350 g.,3 L.,1.0885704090152926,7.644964149533597,lavado,2022-03-01 00:00:00
dia-es,la_despensa_alimentacion_vitaminas_y_complementos,Cerveza reserva,,4.184698150766042,16.09352923706881,€/l.,2022-03-01 00:00:00
carrefour-es,postres_y_yogures_bifidus,Cerveza reserva,75 Ml.,0.777889210899523,2.6564567735936135,kg,2022-03-01 00:00:00
carrefour-es,la_despensa_aperitivos_patatas_fritas,Mermelada de melocotón categoría extra Carrefour sin gluten 650 g.,Botella,0.9551665272920291,7.703735586027925,€/Kg.,2022-03-01 00:00:00
dia-es,perfumeria_e_higiene_cosmetica_rostro,Arroz con leche La Ermita de San Pedro sin gluten 270 g.,,0.46803753114494634,2.3494899131873335,€/ud.,2022-03-01 00:00:00
carrefour-es,la_despensa_cestas_y_lotes_cestas_de_navidad,"Cesta baño Aromatherapy Gloss: Gel de ducha 300 ml, loción 300 ml, exfoliante 100 ml, bombas baño 300 g, vela 1 ud y esponja ",1 Ud.,1.975523161898512,1.8504174491782266,kg,2022-03-01 00:00:00
carrefour-es,el_mercado_panaderia_bolleria_y_pasteleria_magdalenas_dulces_y_bollos,Detergente en polvo con jabón de Marsella Carrefour 50 cacitos,,0.6493173725128881,3.6408903859589388,L,2022-04-01 00:00:00
mercadona-es,perfumeria_e_higiene_boca_y_sonrisa_dentifricos,Agua de coco ecológica Cocomi sin gluten brik 1 l.,,18.490827213578367,9.308942144642405,L,2022-04-01 00:00:00
carrefour-es,perfumeria_e_higiene_cabello_champus,Pastillas antical para lavadoras 3 en 1 en Calgon 45 ud.,Pack-8,4.841996795071829,4.608960417638942,kg,2022-04-01 00:00:00
mercadona-es,azucar_caramelos_y_chocolate_chocolate,STARBUCKS café capuccino vaso 220 ml,Pack-4,13.177675100959446,10.900737120057336,l,2022-04-01 00:00:00
dia-es,bodega_cerveza,Bebida láctea natural azucarada Hacendado,50 G.,1.1067746195431263,10.642005691054827,€/l.,2022-04-01 00:00:00
